,season,PRRollman,Isolation,OffRebound,Cut,Postup,Misc,Transition,Spotup,Handoff,OffScreen,PRBallHandler
Ed Davis,2016-17,0.247,0.0,0.251,0.283,0.0,0.137,0.0,0.0,0.0,0.0,0.0
Elfrid Payton,2016-17,0.0,0.081,0.045,0.031,0.0,0.059,0.22,0.147,0.031,0.009,0.375
Emmanuel Mudiay,2016-17,0.0,0.063,0.02,0.052,0.021,0.04,0.194,0.211,0.087,0.023,0.288
Enes Kanter,2016-17,0.188,0.038,0.17,0.1,0.3,0.042,0.08,0.068,0.0,0.015,0.0
Eric Bledsoe,2016-17,0.0,0.094,0.013,0.013,0.01,0.059,0.198,0.111,0.03,0.016,0.456
Eric Gordon,2016-17,0.0,0.082,0.009,0.017,0.0,0.029,0.213,0.285,0.09,0.081,0.187
Ersan Ilyasova,2016-17,0.19,0.019,0.121,0.09,0.076,0.069,0.103,0.276,0.02,0.038,0.028
Evan Fournier,2016-17,0.0,0.041,0.018,0.037,0.0,0.054,0.151,0.156,0.112,0.187,0.241
Evan Turner,2016-17,0.0,0.122,0.03,0.024,0.092,0.056,0.129,0.185,0.06,0.036,0.263
Frank Kaminsky,2016-17,0.216,0.042,0.031,0.075,0.12,0.049,0.054,0.344,0.012,0.047,0.011
Garrett Temple,2016-17,0.0,0.048,0.024,0.06,0.0,0.058,0.196,0.292,0.061,0.065,0.188
Gary Harris,2016-17,0.0,0.029,0.031,0.122,0.0,0.036,0.187,0.248,0.143,0.079,0.124
Gary Payton II,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.294,0.0,0.0,0.324
George Hill,2016-17,0.0,0.078,0.0,0.032,0.0,0.049,0.084,0.193,0.08,0.038,0.422
Georgios Papagiannis,2016-17,0.165,0.0,0.158,0.226,0.286,0.098,0.0,0.0,0.0,0.0,0.0
Gerald Green,2016-17,0.0,0.055,0.044,0.059,0.0,0.0,0.136,0.279,0.077,0.132,0.151
Gerald Henderson,2016-17,0.0,0.064,0.023,0.07,0.045,0.053,0.171,0.218,0.126,0.069,0.161
Giannis Antetokounmpo,2016-17,0.038,0.127,0.052,0.097,0.086,0.062,0.217,0.103,0.026,0.014,0.177
Glenn Robinson III,2016-17,0.0,0.0,0.056,0.098,0.0,0.056,0.21,0.311,0.061,0.125,0.073
Goran Dragic,2016-17,0.009,0.076,0.019,0.02,0.0,0.038,0.185,0.137,0.061,0.02,0.43
Gordon Hayward,2016-17,0.0,0.074,0.014,0.091,0.031,0.036,0.102,0.134,0.115,0.112,0.286
Gorgui Dieng,2016-17,0.187,0.015,0.101,0.19,0.074,0.097,0.097,0.234,0.0,0.0,0.0
Greg Monroe,2016-17,0.115,0.06,0.114,0.181,0.306,0.071,0.075,0.058,0.01,0.0,0.0
Harrison Barnes,2016-17,0.082,0.245,0.019,0.042,0.178,0.034,0.058,0.148,0.008,0.145,0.04
Hassan Whiteside,2016-17,0.158,0.045,0.2,0.182,0.262,0.077,0.038,0.03,0.0,0.0,0.0
Hollis Thompson,2016-17,0.0,0.0,0.0,0.073,0.0,0.0,0.234,0.447,0.101,0.062,0.0
Ian Clark,2016-17,0.0,0.035,0.0,0.123,0.0,0.058,0.167,0.226,0.051,0.148,0.175
Ian Mahinmi,2016-17,0.2,0.0,0.15,0.239,0.122,0.144,0.067,0.0,0.0,0.0,0.0
Iman Shumpert,2016-17,0.0,0.107,0.0,0.0,0.0,0.049,0.192,0.383,0.023,0.031,0.181
Isaiah Canaan,2016-17,0.0,0.091,0.0,0.0,0.0,0.0,0.212,0.284,0.077,0.058,0.212
Isaiah Thomas,2016-17,0.0,0.091,0.01,0.013,0.0,0.045,0.158,0.138,0.111,0.087,0.344
Isaiah Whitehead,2016-17,0.0,0.083,0.021,0.027,0.0,0.068,0.191,0.214,0.034,0.021,0.34
Ish Smith,2016-17,0.0,0.057,0.0,0.0,0.0,0.046,0.236,0.143,0.038,0.0,0.466
Ivica Zubac,2016-17,0.277,0.0,0.104,0.249,0.145,0.069,0.076,0.038,0.0,0.0,0.0
J.J. Barea,2016-17,0.0,0.091,0.0,0.0,0.0,0.037,0.061,0.124,0.042,0.0,0.602
JJ Redick,2016-17,0.0,0.009,0.0,0.015,0.0,0.048,0.147,0.189,0.19,0.318,0.072
JR Smith,2016-17,0.031,0.093,0.0,0.0,0.0,0.052,0.18,0.392,0.026,0.155,0.044
JaMychal Green,2016-17,0.09,0.033,0.166,0.135,0.079,0.082,0.105,0.291,0.0,0.015,0.0
Jabari Parker,2016-17,0.063,0.103,0.055,0.086,0.055,0.026,0.178,0.275,0.042,0.035,0.083
Jae Crowder,2016-17,0.022,0.02,0.029,0.074,0.034,0.063,0.166,0.368,0.065,0.105,0.054
Jahlil Okafor,2016-17,0.092,0.203,0.089,0.114,0.316,0.055,0.055,0.06,0.0,0.0,0.0
Jakob Poeltl,2016-17,0.235,0.0,0.247,0.253,0.0,0.118,0.076,0.0,0.0,0.0,0.0
Jamal Crawford,2016-17,0.0,0.253,0.011,0.0,0.0,0.047,0.114,0.189,0.059,0.026,0.293
Jamal Murray,2016-17,0.0,0.059,0.012,0.042,0.0,0.055,0.17,0.184,0.102,0.115,0.259
Jameer Nelson,2016-17,0.0,0.069,0.0,0.03,0.0,0.049,0.125,0.237,0.096,0.013,0.376
James Ennis III,2016-17,0.023,0.04,0.096,0.112,0.0,0.049,0.196,0.333,0.0,0.049,0.068
James Harden,2016-17,0.0,0.237,0.013,0.01,0.024,0.059,0.151,0.05,0.027,0.023,0.405
James Johnson,2016-17,0.082,0.118,0.032,0.04,0.043,0.071,0.142,0.258,0.013,0.031,0.171
Jared Dudley,2016-17,0.121,0.0,0.029,0.031,0.045,0.085,0.175,0.354,0.0,0.114,0.0
Jared Sullinger,2016-17,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarell Martin,2016-17,0.129,0.069,0.158,0.109,0.0,0.084,0.129,0.277,0.0,0.0,0.0
Jason Smith,2016-17,0.324,0.0,0.079,0.059,0.0,0.103,0.071,0.334,0.0,0.0,0.0
Jason Terry,2016-17,0.0,0.0,0.0,0.0,0.0,0.045,0.199,0.419,0.052,0.096,0.113
Jaylen Brown,2016-17,0.0,0.067,0.05,0.109,0.07,0.052,0.209,0.326,0.035,0.024,0.054
Jeff Green,2016-17,0.064,0.074,0.026,0.034,0.115,0.051,0.182,0.268,0.043,0.034,0.111
Jeff Teague,2016-17,0.0,0.149,0.014,0.012,0.008,0.065,0.162,0.111,0.032,0.032,0.412
Jerami Grant,2016-17,0.06,0.074,0.033,0.1,0.0,0.043,0.186,0.372,0.055,0.0,0.045
Jeremy Lamb,2016-17,0.0,0.066,0.033,0.066,0.0,0.022,0.076,0.185,0.054,0.09,0.403
Jeremy Lin,2016-17,0.0,0.088,0.0,0.029,0.0,0.044,0.154,0.159,0.049,0.035,0.437
Jerian Grant,2016-17,0.0,0.085,0.0,0.0,0.045,0.059,0.154,0.332,0.045,0.0,0.234
Jerryd Bayless,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
Jimmy Butler,2016-17,0.006,0.138,0.036,0.039,0.059,0.055,0.124,0.091,0.042,0.043,0.367
Joakim Noah,2016-17,0.135,0.034,0.351,0.176,0.0,0.132,0.095,0.057,0.0,0.0,0.0
Jodie Meeks,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.305,0.102,0.292,0.08
Joe Harris,2016-17,0.0,0.0,0.023,0.08,0.0,0.036,0.166,0.32,0.125,0.148,0.095
Joe Ingles,2016-17,0.0,0.051,0.0,0.0,0.0,0.053,0.112,0.338,0.066,0.112,0.239
Joe Johnson,2016-17,0.014,0.153,0.021,0.015,0.105,0.025,0.048,0.324,0.048,0.057,0.19
Joel Embiid,2016-17,0.15,0.083,0.058,0.064,0.322,0.088,0.102,0.099,0.0,0.021,0.0
Joffrey Lauvergne,2016-17,0.212,0.0,0.124,0.106,0.088,0.077,0.124,0.195,0.0,0.0,0.0
John Henson,2016-17,0.203,0.0,0.157,0.284,0.11,0.098,0.064,0.049,0.0,0.0,0.0
John Wall,2016-17,0.0,0.165,0.017,0.0,0.014,0.062,0.224,0.091,0.012,0.01,0.402
Jon Leuer,2016-17,0.149,0.032,0.085,0.111,0.087,0.036,0.138,0.304,0.0,0.037,0.017
Jonas Jerebko,2016-17,0.072,0.0,0.069,0.097,0.0,0.075,0.103,0.508,0.0,0.0,0.0
Jonas Valanciunas,2016-17,0.207,0.029,0.193,0.158,0.242,0.083,0.039,0.042,0.0,0.0,0.0
Jonathan Gibson,2016-17,0.0,0.0,0.0,0.0,0.0,0.077,0.1,0.208,0.0,0.108,0.385
Jonathon Simmons,2016-17,0.0,0.116,0.0,0.043,0.0,0.052,0.169,0.287,0.078,0.025,0.207
Jordan Clarkson,2016-17,0.0,0.104,0.015,0.031,0.011,0.042,0.152,0.134,0.084,0.066,0.359
Jordan Crawford,2016-17,0.0,0.084,0.0,0.0,0.0,0.0,0.195,0.187,0.056,0.092,0.307
Jordan McRae,2016-17,0.0,0.152,0.0,0.0,0.0,0.0,0.124,0.275,0.0,0.073,0.208
Jose Calderon,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.347,0.133,0.0,0.307
Josh McRoberts,2016-17,0.185,0.089,0.075,0.116,0.0,0.0,0.0,0.363,0.0,0.0,0.0
Josh Richardson,2016-17,0.0,0.045,0.0,0.021,0.0,0.035,0.139,0.334,0.107,0.053,0.246
Jrue Holiday,2016-17,0.0,0.075,0.017,0.022,0.013,0.052,0.115,0.114,0.059,0.025,0.507
Juancho Hernangomez,2016-17,0.0,0.0,0.115,0.104,0.0,0.056,0.191,0.385,0.045,0.035,0.0
Julius Randle,2016-17,0.109,0.156,0.092,0.102,0.109,0.084,0.186,0.12,0.014,0.012,0.016
Justin Anderson,2016-17,0.0,0.059,0.093,0.062,0.0,0.048,0.152,0.314,0.039,0.098,0.054
Justin Hamilton,2016-17,0.21,0.0,0.093,0.106,0.054,0.059,0.104,0.33,0.0,0.023,0.0
Justin Holiday,2016-17,0.0,0.028,0.0,0.089,0.0,0.071,0.166,0.353,0.072,0.132,0.075
Justise Winslow,2016-17,0.058,0.083,0.0,0.051,0.051,0.054,0.174,0.239,0.0,0.0,0.221
Jusuf Nurkic,2016-17,0.145,0.0,0.153,0.097,0.224,0.1,0.05,0.028,0.0,0.0,0.0
KJ McDaniels,2016-17,0.0,0.0,0.0,0.083,0.0,0.0,0.128,0.406,0.0,0.0,0.188
Karl-Anthony Towns,2016-17,0.194,0.082,0.11,0.06,0.255,0.053,0.069,0.113,0.0,0.058,0.0
Kawhi Leonard,2016-17,0.007,0.126,0.022,0.028,0.081,0.037,0.126,0.187,0.063,0.076,0.247
Kelly Olynyk,2016-17,0.228,0.029,0.051,0.091,0.11,0.085,0.085,0.242,0.021,0.05,0.0
Kelly Oubre Jr.,2016-17,0.0,0.026,0.082,0.066,0.0,0.043,0.221,0.365,0.032,0.069,0.079
Kemba Walker,2016-17,0.0,0.062,0.01,0.018,0.0,0.036,0.115,0.103,0.06,0.046,0.549
Kenneth Faried,2016-17,0.098,0.0,0.252,0.269,0.113,0.091,0.114,0.034,0.0,0.0,0.0
Kent Bazemore,2016-17,0.0,0.047,0.019,0.056,0.0,0.05,0.193,0.256,0.063,0.085,0.225
Kentavious Caldwell-Pope,2016-17,0.0,0.03,0.025,0.022,0.0,0.032,0.208,0.185,0.149,0.101,0.248
Kevin Durant,2016-17,0.025,0.115,0.018,0.065,0.07,0.048,0.225,0.142,0.03,0.135,0.126
Kevin Love,2016-17,0.122,0.055,0.083,0.039,0.232,0.059,0.1,0.236,0.0,0.061,0.0
Kevin Seraphin,2016-17,0.195,0.0,0.11,0.216,0.263,0.059,0.047,0.093,0.0,0.0,0.0
Khris Middleton,2016-17,0.023,0.088,0.0,0.035,0.118,0.071,0.101,0.249,0.06,0.065,0.175
Klay Thompson,2016-17,0.0,0.042,0.018,0.087,0.021,0.038,0.192,0.175,0.047,0.324,0.054
Kosta Koufos,2016-17,0.15,0.021,0.148,0.39,0.135,0.073,0.065,0.0,0.0,0.0,0.0
Kris Dunn,2016-17,0.0,0.063,0.023,0.028,0.0,0.082,0.212,0.21,0.026,0.0,0.343
Kris Humphries,2016-17,0.21,0.0,0.125,0.181,0.0,0.096,0.078,0.249,0.0,0.0,0.0
Kristaps Porzingis,2016-17,0.158,0.079,0.065,0.088,0.137,0.041,0.098,0.22,0.016,0.085,0.013
Kyle Anderson,2016-17,0.0,0.054,0.069,0.112,0.036,0.051,0.13,0.343,0.058,0.04,0.101
Kyle Korver,2016-17,0.0,0.0,0.0,0.034,0.0,0.046,0.154,0.243,0.05,0.277,0.058
Kyle Lowry,2016-17,0.011,0.11,0.011,0.0,0.011,0.048,0.17,0.136,0.055,0.052,0.391
Kyle O'Quinn,2016-17,0.182,0.057,0.167,0.195,0.061,0.109,0.061,0.155,0.0,0.0,0.0
Kyle Singler,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.284,0.363,0.137,0.0,0.0
Kyrie Irving,2016-17,0.007,0.214,0.014,0.023,0.025,0.047,0.154,0.08,0.055,0.041,0.34
LaMarcus Aldridge,2016-17,0.191,0.034,0.094,0.065,0.327,0.046,0.039,0.162,0.0,0.034,0.0
Lance Stephenson,2016-17,0.0,0.214,0.0,0.0,0.0,0.0,0.214,0.214,0.0,0.0,0.393
Lance Thomas,2016-17,0.055,0.034,0.058,0.051,0.0,0.048,0.126,0.532,0.0,0.041,0.034
Langston Galloway,2016-17,0.0,0.041,0.0,0.0,0.0,0.043,0.142,0.26,0.118,0.133,0.299
Larry Nance Jr.,2016-17,0.223,0.0,0.142,0.186,0.06,0.062,0.119,0.159,0.0,0.027,0.0
Lavoy Allen,2016-17,0.146,0.0,0.211,0.244,0.0,0.089,0.08,0.188,0.0,0.0,0.0
LeBron James,2016-17,0.026,0.203,0.031,0.058,0.113,0.054,0.225,0.059,0.016,0.015,0.199
Leandro Barbosa,2016-17,0.0,0.068,0.0,0.0,0.0,0.028,0.159,0.192,0.048,0.061,0.41
Lou Williams,2016-17,0.0,0.077,0.0,0.026,0.0,0.04,0.197,0.197,0.054,0.06,0.337
Luc Mbah a Moute,2016-17,0.05,0.0,0.035,0.152,0.0,0.033,0.211,0.411,0.03,0.0,0.035
Lucas Nogueira,2016-17,0.284,0.0,0.179,0.205,0.0,0.144,0.114,0.066,0.0,0.0,0.0
Luis Scola,2016-17,0.189,0.0,0.174,0.06,0.159,0.08,0.09,0.229,0.0,0.0,0.0
Luke Babbitt,2016-17,0.109,0.0,0.0,0.0,0.0,0.054,0.144,0.607,0.0,0.0,0.0
Luol Deng,2016-17,0.022,0.043,0.077,0.061,0.047,0.047,0.164,0.292,0.077,0.065,0.105
Malcolm Brogdon,2016-17,0.0,0.07,0.025,0.084,0.017,0.055,0.11,0.217,0.05,0.051,0.31
Malcolm Delaney,2016-17,0.0,0.089,0.0,0.0,0.0,0.089,0.146,0.197,0.05,0.035,0.372
Manu Ginobili,2016-17,0.0,0.057,0.0,0.049,0.0,0.052,0.137,0.313,0.087,0.04,0.243
Marc Gasol,2016-17,0.23,0.072,0.016,0.044,0.32,0.044,0.067,0.154,0.011,0.038,0.0
Marcelo Huertas,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.117,0.117,0.0,0.0,0.489
Marcin Gortat,2016-17,0.225,0.0,0.141,0.295,0.204,0.079,0.041,0.0,0.0,0.0,0.0
Marco Belinelli,2016-17,0.0,0.016,0.0,0.083,0.0,0.055,0.08,0.218,0.123,0.22,0.196
Marcus Morris,2016-17,0.057,0.148,0.04,0.025,0.088,0.042,0.133,0.205,0.048,0.048,0.166
Marcus Smart,2016-17,0.0,0.074,0.039,0.044,0.096,0.115,0.12,0.224,0.063,0.031,0.191
Marcus Thornton,2016-17,0.0,0.062,0.062,0.045,0.0,0.041,0.107,0.214,0.049,0.156,0.251
Mario Hezonja,2016-17,0.0,0.061,0.029,0.025,0.0,0.076,0.169,0.27,0.069,0.147,0.152
Markieff Morris,2016-17,0.135,0.095,0.067,0.097,0.188,0.061,0.083,0.21,0.009,0.048,0.0
Marquese Chriss,2016-17,0.105,0.048,0.093,0.117,0.089,0.071,0.156,0.284,0.0,0.02,0.0
Marreese Speights,2016-17,0.256,0.034,0.1,0.059,0.093,0.066,0.074,0.303,0.0,0.0,0.0
Marvin Williams,2016-17,0.135,0.0,0.059,0.09,0.045,0.064,0.111,0.425,0.023,0.045,0.0
Mason Plumlee,2016-17,0.184,0.054,0.115,0.234,0.176,0.065,0.138,0.05,0.0,0.0,0.0
Matt Barnes,2016-17,0.048,0.028,0.073,0.144,0.0,0.104,0.192,0.344,0.0,0.042,0.054
Matthew Dellavedova,2016-17,0.033,0.04,0.0,0.026,0.0,0.078,0.094,0.237,0.051,0.04,0.396
Maurice Harkless,2016-17,0.041,0.028,0.112,0.116,0.127,0.03,0.155,0.279,0.025,0.043,0.045
Maurice Ndour,2016-17,0.0,0.0,0.126,0.27,0.0,0.0,0.18,0.198,0.0,0.0,0.0
Meyers Leonard,2016-17,0.271,0.023,0.0,0.097,0.097,0.074,0.049,0.35,0.0,0.0,0.0
Michael Beasley,2016-17,0.054,0.132,0.045,0.097,0.087,0.037,0.142,0.21,0.066,0.062,0.068
Michael Carter-Williams,2016-17,0.0,0.074,0.025,0.042,0.0,0.074,0.17,0.232,0.064,0.025,0.277
Michael Kidd-Gilchrist,2016-17,0.0,0.039,0.072,0.164,0.045,0.035,0.193,0.314,0.047,0.0,0.084
Mike Conley,2016-17,0.0,0.1,0.008,0.015,0.0,0.061,0.109,0.117,0.082,0.087,0.421
Mike Dunleavy,2016-17,0.0,0.0,0.0,0.09,0.0,0.0,0.11,0.327,0.097,0.173,0.0
Mike Muscala,2016-17,0.212,0.0,0.107,0.16,0.0,0.095,0.1,0.276,0.0,0.026,0.0
Mike Scott,2016-17,0.169,0.0,0.0,0.155,0.0,0.0,0.141,0.254,0.0,0.0,0.0
Miles Plumlee,2016-17,0.294,0.0,0.0,0.324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mindaugas Kuzminskas,2016-17,0.0,0.047,0.067,0.112,0.031,0.06,0.19,0.359,0.027,0.027,0.069
Mirza Teletovic,2016-17,0.053,0.0,0.0,0.034,0.0,0.036,0.203,0.433,0.106,0.091,0.0
Monta Ellis,2016-17,0.0,0.052,0.0,0.02,0.0,0.05,0.173,0.214,0.051,0.06,0.371
Montrezl Harrell,2016-17,0.245,0.0,0.121,0.294,0.035,0.063,0.138,0.056,0.0,0.0,0.03
Myles Turner,2016-17,0.303,0.021,0.07,0.185,0.097,0.071,0.09,0.149,0.009,0.0,0.0
Nemanja Bjelica,2016-17,0.102,0.066,0.077,0.063,0.0,0.041,0.152,0.415,0.0,0.0,0.032
Nene,2016-17,0.317,0.056,0.074,0.231,0.081,0.074,0.086,0.07,0.0,0.0,0.0
Nerlens Noel,2016-17,0.211,0.043,0.17,0.295,0.0,0.069,0.08,0.108,0.0,0.0,0.0
Nick Young,2016-17,0.0,0.03,0.014,0.017,0.0,0.026,0.211,0.253,0.155,0.165,0.117
Nicolas Batum,2016-17,0.0,0.051,0.017,0.031,0.089,0.038,0.07,0.158,0.099,0.19,0.254
Nik Stauskas,2016-17,0.0,0.061,0.0,0.028,0.0,0.047,0.15,0.287,0.137,0.102,0.177
Nikola Jokic,2016-17,0.153,0.061,0.126,0.146,0.208,0.097,0.077,0.109,0.0,0.014,0.0
Nikola Mirotic,2016-17,0.094,0.026,0.049,0.061,0.065,0.049,0.14,0.421,0.028,0.065,0.0
Nikola Vucevic,2016-17,0.233,0.056,0.093,0.096,0.226,0.059,0.064,0.149,0.008,0.011,0.0
Noah Vonleh,2016-17,0.106,0.043,0.221,0.218,0.106,0.088,0.059,0.152,0.0,0.0,0.0
Norman Powell,2016-17,0.0,0.075,0.02,0.018,0.0,0.035,0.221,0.261,0.032,0.046,0.284
Okaro White,2016-17,0.0,0.0,0.104,0.122,0.0,0.113,0.13,0.322,0.0,0.0,0.0
Omer Asik,2016-17,0.103,0.0,0.309,0.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Omri Casspi,2016-17,0.0,0.0,0.099,0.231,0.0,0.0,0.289,0.365,0.0,0.07,0.0
Otto Porter Jr.,2016-17,0.027,0.021,0.082,0.077,0.0,0.048,0.202,0.34,0.033,0.094,0.073
PJ Tucker,2016-17,0.038,0.0,0.126,0.107,0.045,0.08,0.193,0.413,0.0,0.0,0.023
Pascal Siakam,2016-17,0.083,0.0,0.142,0.224,0.059,0.055,0.193,0.209,0.0,0.0,0.0
Patrick Beverley,2016-17,0.0,0.077,0.025,0.016,0.0,0.048,0.177,0.326,0.037,0.015,0.269
Patrick McCaw,2016-17,0.0,0.0,0.0,0.078,0.0,0.044,0.206,0.334,0.034,0.162,0.098
Patrick Patterson,2016-17,0.137,0.0,0.082,0.042,0.0,0.069,0.091,0.543,0.0,0.0,0.0
Patty Mills,2016-17,0.0,0.02,0.0,0.039,0.0,0.035,0.17,0.262,0.097,0.069,0.305
Pau Gasol,2016-17,0.264,0.02,0.085,0.09,0.196,0.052,0.069,0.203,0.0,0.016,0.0
Paul George,2016-17,0.025,0.175,0.017,0.023,0.052,0.047,0.147,0.118,0.03,0.19,0.175
Paul Millsap,2016-17,0.234,0.125,0.039,0.061,0.169,0.058,0.066,0.171,0.0,0.054,0.016
Paul Pierce,2016-17,0.154,0.0,0.0,0.0,0.0,0.0,0.11,0.451,0.0,0.0,0.0
Paul Zipser,2016-17,0.0,0.061,0.0,0.0,0.0,0.054,0.164,0.436,0.071,0.0,0.114
Quincy Acy,2016-17,0.281,0.0,0.071,0.0,0.0,0.071,0.102,0.327,0.0,0.0,0.0
Quinn Cook,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.353
Rajon Rondo,2016-17,0.0,0.053,0.031,0.024,0.0,0.063,0.158,0.215,0.041,0.0,0.393
Ramon Sessions,2016-17,0.0,0.0,0.0,0.036,0.0,0.069,0.148,0.187,0.074,0.0,0.448
Randy Foye,2016-17,0.0,0.088,0.0,0.0,0.0,0.067,0.157,0.326,0.042,0.025,0.28
Rashad Vaughn,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.409,0.111,0.111,0.099
Raymond Felton,2016-17,0.0,0.11,0.0,0.0,0.0,0.059,0.124,0.198,0.049,0.019,0.416
Reggie Bullock,2016-17,0.0,0.0,0.0,0.121,0.0,0.0,0.177,0.312,0.106,0.128,0.0
Reggie Jackson,2016-17,0.0,0.088,0.016,0.0,0.0,0.049,0.122,0.089,0.039,0.012,0.573
Reggie Williams,2016-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692,0.0,0.0,0.0
Richard Jefferson,2016-17,0.054,0.039,0.029,0.109,0.0,0.093,0.166,0.442,0.0,0.027,0.025
Richaun Holmes,2016-17,0.225,0.02,0.115,0.239,0.024,0.087,0.115,0.16,0.0,0.0,0.0
Ricky Rubio,2016-17,0.0,0.029,0.018,0.024,0.0,0.066,0.17,0.261,0.038,0.0,0.385
Robert Covington,2016-17,0.012,0.019,0.053,0.074,0.0,0.054,0.225,0.358,0.08,0.08,0.043
Robin Lopez,2016-17,0.269,0.0,0.189,0.16,0.162,0.066,0.029,0.099,0.016,0.0,0.0
Rodney Hood,2016-17,0.0,0.114,0.0,0.022,0.032,0.021,0.105,0.258,0.094,0.078,0.269
Rodney McGruder,2016-17,0.0,0.022,0.064,0.092,0.0,0.037,0.142,0.392,0.068,0.063,0.116
Rodney Stuckey,2016-17,0.0,0.133,0.0,0.029,0.0,0.075,0.179,0.165,0.069,0.0,0.306
Ron Baker,2016-17,0.0,0.055,0.0,0.035,0.0,0.093,0.183,0.204,0.0,0.08,0.291
Rondae Hollis-Jefferson,2016-17,0.045,0.094,0.059,0.131,0.073,0.036,0.21,0.21,0.024,0.022,0.094
Roy Hibbert,2016-17,0.085,0.0,0.127,0.221,0.272,0.122,0.0,0.117,0.0,0.0,0.0
Rudy Gay,2016-17,0.025,0.12,0.037,0.044,0.111,0.049,0.153,0.188,0.042,0.085,0.146
Rudy Gobert,2016-17,0.209,0.018,0.218,0.3,0.042,0.128,0.07,0.013,0.0,0.0,0.0
Russell Westbrook,2016-17,0.0,0.19,0.028,0.01,0.072,0.048,0.202,0.047,0.029,0.019,0.355
Ryan Anderson,2016-17,0.177,0.026,0.087,0.034,0.051,0.045,0.149,0.317,0.019,0.073,0.023
Salah Mejri,2016-17,0.243,0.0,0.199,0.257,0.0,0.15,0.0,0.068,0.0,0.0,0.0
Sam Dekker,2016-17,0.04,0.0,0.091,0.085,0.0,0.042,0.266,0.389,0.0,0.048,0.0
Sean Kilpatrick,2016-17,0.0,0.061,0.014,0.039,0.0,0.05,0.173,0.267,0.071,0.049,0.272
Semaj Christon,2016-17,0.0,0.075,0.0,0.086,0.0,0.111,0.107,0.207,0.0,0.0,0.364
Serge Ibaka,2016-17,0.243,0.03,0.054,0.051,0.138,0.069,0.072,0.302,0.0,0.033,0.0
Sergio Rodriguez,2016-17,0.0,0.054,0.0,0.0,0.0,0.052,0.123,0.207,0.075,0.0,0.467
Seth Curry,2016-17,0.0,0.099,0.012,0.0,0.0,0.051,0.103,0.254,0.05,0.091,0.332
Shabazz Muhammad,2016-17,0.0,0.046,0.074,0.115,0.14,0.034,0.232,0.287,0.022,0.019,0.023
Shaun Livingston,2016-17,0.0,0.1,0.0,0.213,0.15,0.093,0.148,0.05,0.058,0.038,0.13
Shawn Long,2016-17,0.167,0.0,0.261,0.13,0.072,0.072,0.0,0.159,0.0,0.0,0.0
Shelvin Mack,2016-17,0.0,0.06,0.0,0.026,0.0,0.046,0.095,0.27,0.06,0.034,0.393
Skal Labissiere,2016-17,0.135,0.069,0.131,0.138,0.218,0.087,0.069,0.135,0.0,0.0,0.0
Solomon Hill,2016-17,0.0,0.064,0.032,0.05,0.0,0.043,0.25,0.398,0.021,0.0,0.113
Spencer Dinwiddie,2016-17,0.0,0.12,0.0,0.0,0.0,0.085,0.131,0.175,0.0,0.0,0.422
Spencer Hawes,2016-17,0.233,0.0,0.062,0.167,0.109,0.105,0.065,0.222,0.0,0.0,0.0
Stanley Johnson,2016-17,0.0,0.048,0.039,0.0,0.0,0.048,0.172,0.342,0.033,0.028,0.266
Stephen Curry,2016-17,0.008,0.074,0.016,0.048,0.0,0.068,0.217,0.112,0.039,0.148,0.268
Steven Adams,2016-17,0.24,0.0,0.176,0.179,0.232,0.09,0.082,0.0,0.0,0.0,0.0
T.J. McConnell,2016-17,0.0,0.042,0.017,0.051,0.0,0.062,0.172,0.111,0.08,0.0,0.461
T.J. Warren,2016-17,0.0,0.07,0.109,0.082,0.0,0.049,0.214,0.193,0.031,0.094,0.151
Taj Gibson,2016-17,0.157,0.045,0.072,0.166,0.283,0.079,0.108,0.13,0.0,0.0,0.0
Tarik Black,2016-17,0.219,0.0,0.221,0.244,0.151,0.07,0.065,0.0,0.0,0.0,0.0
Taurean Prince,2016-17,0.0,0.034,0.034,0.028,0.0,0.049,0.205,0.376,0.075,0.08,0.114
Terrence Jones,2016-17,0.15,0.082,0.076,0.125,0.105,0.051,0.143,0.242,0.0,0.0,0.0
Terrence Ross,2016-17,0.0,0.06,0.0,0.0,0.0,0.042,0.17,0.247,0.038,0.199,0.144
Terry Rozier,2016-17,0.0,0.076,0.033,0.033,0.0,0.054,0.182,0.258,0.072,0.062,0.229
Thabo Sefolosha,2016-17,0.0,0.029,0.049,0.117,0.025,0.037,0.192,0.313,0.061,0.057,0.108
Thomas Robinson,2016-17,0.148,0.107,0.192,0.125,0.041,0.114,0.137,0.114,0.0,0.0,0.0
